Title,Price,Location,Year,Link,Mileage,Fuel,Engine,Transmission,Last_updated,Image_url
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 30.2 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10051778,"120,000 km",Petrol,1300 cc,Automatic,Updated about 11 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121139359.webp
Toyota Corolla  2014 GLi Automatic 1.3 VVTi,PKR 36 lacs,Faisalabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-faisalabad-10051766,"98,000 km",Petrol,1300 cc,Automatic,Updated about 11 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2014-121138946.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 33 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10051683,"125,000 km",Petrol,1300 cc,Manual,Updated about 11 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2015-121137935.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 39 lacs,Wah cantt,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-wah-cantt-10051644,"132,736 km",Petrol,1300 cc,Manual,Updated about 12 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2015-121137173.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 36.25 lacs,Karachi,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-9982900,"70,500 km",Petrol,1300 cc,Automatic,Updated about 12 hours ago,https://cache4.pakwheels.com/ad_pictures/1200/toyota-corolla-gli-vvti-automatic-2016-120083106.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 39 lacs,Kohat,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-kohat-10051513,"135,000 km",Petrol,1300 cc,Automatic,Updated about 12 hours ago,https://cache4.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121134517.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 27 lacs,Sialkot,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-sialkot-10051476,"150,000 km",Petrol,1300 cc,Manual,Updated about 12 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121134907.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 27 lacs,Sambrial,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-sambrial-10051326,"150,000 km",Petrol,1300 cc,Manual,Updated about 13 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121131348.webp
Toyota Corolla  2013 GLi Automatic 1.6 VVTi,PKR 33.5 lacs,Lahore,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-10051158,"106,484 km",Petrol,1600 cc,Automatic,Updated about 13 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-1-6-gli-automatic-2013-121130122.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 35.95 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10050959,"86,000 km",Petrol,1300 cc,Manual,Updated about 14 hours ago,https://cache2.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2015-121127250.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 31 lacs,Islamabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-10050832,"349,252 km",Petrol,1300 cc,Manual,Updated about 15 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121125377.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 39 lacs,Islamabad,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-islamabad-9974183,"50,200 km",Petrol,1300 cc,Manual,Updated about 15 hours ago,https://cache4.pakwheels.com/ad_pictures/1199/toyota-corolla-gli-vvti-2013-119941658.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 28.5 lacs,Faisalabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-faisalabad-10050795,"121,756 km",Petrol,1300 cc,Manual,Updated about 15 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121124781.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 31 lacs,Islamabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-10050730,"125,456 km",Petrol,1300 cc,Manual,Updated about 15 hours ago,https://cache2.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121123536.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 36.5 lacs,Narowal,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-narowal-10050699,"102,149 km",Petrol,1300 cc,Automatic,Updated about 15 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121123199.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 34.5 lacs,Karachi,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-10050675,"97,500 km",Petrol,1300 cc,Automatic,Updated about 15 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2016-121122724.webp
Toyota Corolla  2013 GLi Limited Edition 1.3 VVTi,PKR 36 lacs,Okara,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-okara-9915792,"93,000 km",Petrol,1300 cc,Manual,Updated about 15 hours ago,https://cache1.pakwheels.com/ad_pictures/1190/toyota-corolla-gli-vvti-limited-edition-2013-119027954.webp
